"","Protein","Gene","Description","Fold_Change","p_Value"
"264","ALAT2_MOUSE|Q8BGT5","Gpt2","Alanine aminotransferase 2",-1.38,0.0325
"265","ALBU_MOUSE|P07724","Alb","Serum albumin",-1.42,0.156
"266","ALDH2_MOUSE|P47738","Aldh2","Aldehyde dehydrogenase, mitochondrial",-1.61,0.0148
"267","ALDOA_MOUSE|P05064","Aldoa","Fructose-bisphosphate aldolase A",-1.63,0.00122
"268","ALDOC_MOUSE|P05063","Aldoc","Fructose-bisphosphate aldolase C",-1.77,0.00165
"269","ALDR_MOUSE|P45376","Akr1b1","Aldose reductase",-1.45,0.00728
"270","ALG2_MOUSE|Q9DBE8","Alg2","Alpha-1,3/1,6-mannosyltransferase ALG2",-1.66,0.00291
"271","ALG5_MOUSE|Q9DB25","Alg5","Dolichyl-phosphate beta-glucosyltransferase",-1.42,0.018
"272","ALMS1_MOUSE|Q8K4E0","Alms1","Alstrom syndrome protein 1 homolog",-5.72,0.00281
"273","ALRF2_MOUSE|Q9JJW6","Alyref2","Aly/REF export factor 2",-1.51,0.000754
"274","AMACR_MOUSE|O09174","Amacr","Alpha-methylacyl-CoA racemase",-2.03,0.000142
"275","AMD_MOUSE|P97467","Pam","Peptidyl-glycine alpha-amidating monooxygenase",-1.48,0.0542
"276","AMER2_MOUSE|Q8CCJ4","Amer2","APC membrane recruitment protein 2",-11,0.000731
"277","AMFR_MOUSE|Q9R049","Amfr","E3 ubiquitin-protein ligase AMFR",-1.71,0.0196
"278","AMGO1_MOUSE|Q80ZD8","Amigo1","Amphoterin-induced protein 1",-1.87,0.000437
"279","AMOL1_MOUSE|Q9D4H4","Amotl1","Angiomotin-like protein 1",-21.9,0.000571
"280","AMPB_MOUSE|Q8VCT3","Rnpep","Aminopeptidase B",-1.73,0.00383
"281","AMPD2_MOUSE|Q9DBT5","Ampd2","AMP deaminase 2",-2.66,0.00191
"282","AMPD3_MOUSE|O08739","Ampd3","AMP deaminase 3",-2.23,0.00444
"283","AMPH_MOUSE|Q7TQF7","Amph","Amphiphysin",-10.8,0.00146
"284","AMPL_MOUSE|Q9CPY7","Lap3","Cytosol aminopeptidase",-1.34,0.0233
"285","AN13D_MOUSE|Q6PD24","Ankrd13d","Ankyrin repeat domain-containing protein 13D",-4.4,0.000131
"286","AN32A_MOUSE|O35381","Anp32a","Acidic leucine-rich nuclear phosphoprotein 32 family member A",-1.59,0.00594
"287","AN32B_MOUSE|Q9EST5","Anp32b","Acidic leucine-rich nuclear phosphoprotein 32 family member B",-2.07,0.00306
"288","AN32E_MOUSE|P97822","Anp32e","Acidic leucine-rich nuclear phosphoprotein 32 family member E",-1.06,0.389
"289","AN34B_MOUSE|Q3UUF8","Ankrd34b","Ankyrin repeat domain-containing protein 34B",-14.8,0.00189
"290","AN34C_MOUSE|Q8BLB8","Ankrd34c","Ankyrin repeat domain-containing protein 34C",-6.91,7.37e-05
"291","ANCHR_MOUSE|Q9DAZ9","Zfyve19","Abscission/NoCut checkpoint regulator",-16.3,0.000386
"292","ANFY1_MOUSE|Q810B6","Ankfy1","Rabankyrin-5",-1.54,0.0161
"293","ANK1_MOUSE|Q02357","Ank1","Ankyrin-1",-11.2,0.00229
"294","ANK2_MOUSE|Q8C8R3","Ank2","Ankyrin-2",-5.11,0.0012
"295","ANK2_MOUSE|Q8C8R3-2","Ank2","Ankyrin-2 (isoform 2)",-3.71,0.00203
"296","ANK2_MOUSE|Q8C8R3-3","Ank2","Ankyrin-2 (isoform 3)",-4.08,0.00412
"297","ANK2_MOUSE|Q8C8R3-7","Ank2","Ankyrin-2 (isoform 7)",-2.98,0.000334
"298","ANK3_MOUSE|G5E8K5","Ank3","Ankyrin-3",-7.63,0.00162
"299","ANKL2_MOUSE|Q6P1H6","Ankle2","Ankyrin repeat and LEM domain-containing protein 2",-5.78,0.000902
"300","ANKY2_MOUSE|Q3TPE9","Ankmy2","Ankyrin repeat and MYND domain-containing protein 2",-1.8,0.00475
"301","ANLN_MOUSE|Q8K298","Anln","Actin-binding protein anillin",-1.32,0.014
"302","ANM1_MOUSE|Q9JIF0","Prmt1","Protein arginine N-methyltransferase 1",-1.09,0.28
"303","ANM5_MOUSE|Q8CIG8","Prmt5","Protein arginine N-methyltransferase 5",-1.5,0.0037
"304","ANM8_MOUSE|Q6PAK3","Prmt8","Protein arginine N-methyltransferase 8",-1.71,0.0198
"305","ANO10_MOUSE|Q8BH79","Ano10","Anoctamin-10",-1.58,0.000777
"306","ANO8_MOUSE|Q6PB70","Ano8","Anoctamin-8",-3.56,0.000593
"307","ANR17_MOUSE|Q99NH0","Ankrd17","Ankyrin repeat domain-containing protein 17",-3.34,0.00198
"308","ANR28_MOUSE|Q505D1","Ankrd28","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A",-1.94,0.00117
"309","ANR40_MOUSE|Q5SUE8","Ankrd40","Ankyrin repeat domain-containing protein 40",-19.3,0.00616
"310","ANR63_MOUSE|A2ARS0","Ankrd63","Ankyrin repeat domain-containing protein 63",-2.67,0.00151
"311","ANS1A_MOUSE|P59672","Anks1a","Ankyrin repeat and SAM domain-containing protein 1A",-2.74,0.000359
"312","ANS1B_MOUSE|Q8BIZ1","Anks1b","Ankyrin repeat and sterile alpha motif domain-containing protein 1B",-2.94,0.00201
"313","ANS1B_MOUSE|Q8BIZ1-3","Anks1b","Ankyrin repeat and sterile alpha motif domain-containing protein 1B (isoform 3)",-2.05,0.00143
"314","ANT3_MOUSE|P32261","Serpinc1","Antithrombin-III",1.13,0.2
"315","ANX11_MOUSE|P97384","Anxa11","Annexin A11",-1.53,0.001
"316","ANXA1_MOUSE|P10107","Anxa1","Annexin A1",1.02,0.677
"317","ANXA2_MOUSE|P07356","Anxa2","Annexin A2",-1.25,0.00125
"318","ANXA3_MOUSE|O35639","Anxa3","Annexin A3",-1.36,0.0203
"319","ANXA4_MOUSE|P97429","Anxa4","Annexin A4",-1.57,5.75e-07
"320","ANXA5_MOUSE|P48036","Anxa5","Annexin A5",-1.14,0.00792
"321","ANXA6_MOUSE|P14824","Anxa6","Annexin A6",-1.6,0.0017
"322","ANXA7_MOUSE|Q07076","Anxa7","Annexin A7",-1.51,0.00862
"323","ANXA8_MOUSE|O35640","Anxa8","Annexin A8",-1.18,0.231
"324","AOFA_MOUSE|Q64133","Maoa","Amine oxidase [flavin-containing] A",-1.61,0.0115
"325","AOFB_MOUSE|Q8BW75","Maob","Amine oxidase [flavin-containing] B",-1.67,0.0107
"326","AP180_MOUSE|Q61548","Snap91","Clathrin coat assembly protein AP180",-4.62,0.00132
"327","AP1B1_MOUSE|O35643","Ap1b1","AP-1 complex subunit beta-1",-1.64,0.0107
"328","AP1G1_MOUSE|P22892","Ap1g1","AP-1 complex subunit gamma-1",-1.65,0.0137
"329","AP1M1_MOUSE|P35585","Ap1m1","AP-1 complex subunit mu-1",-1.37,0.0295
"330","AP1S1_MOUSE|P61967","Ap1s1","AP-1 complex subunit sigma-1A",-1.59,0.00263
"331","AP1S2_MOUSE|Q9DB50","Ap1s2","AP-1 complex subunit sigma-2",-1.59,0.0142
"332","AP2A1_MOUSE|P17426","Ap2a1","AP-2 complex subunit alpha-1",-1.69,0.00702
"333","AP2A2_MOUSE|P17427","Ap2a2","AP-2 complex subunit alpha-2",-1.68,0.0111
"334","AP2B1_MOUSE|Q9DBG3","Ap2b1","AP-2 complex subunit beta",-1.59,0.0128
"335","AP2M1_MOUSE|P84091","Ap2m1","AP-2 complex subunit mu",-1.54,0.0248
"336","AP2S1_MOUSE|P62743","Ap2s1","AP-2 complex subunit sigma",-1.43,0.0475
"337","AP3B1_MOUSE|Q9Z1T1","Ap3b1","AP-3 complex subunit beta-1",-2.31,0.00387
"338","AP3B2_MOUSE|Q9JME5","Ap3b2","AP-3 complex subunit beta-2",-3.06,0.0038
"339","AP3D1_MOUSE|O54774","Ap3d1","AP-3 complex subunit delta-1",-2.23,0.002
"340","AP3M1_MOUSE|Q9JKC8","Ap3m1","AP-3 complex subunit mu-1",-1.29,0.102
"341","AP3M2_MOUSE|Q8R2R9","Ap3m2","AP-3 complex subunit mu-2",-1.52,0.0292
"342","AP3S1_MOUSE|Q9DCR2","Ap3s1","AP-3 complex subunit sigma-1",-1.99,0.00409
"343","AP3S2_MOUSE|Q8BSZ2","Ap3s2","AP-3 complex subunit sigma-2",-1.51,0.0989
"344","AP4A_MOUSE|P56380","Nudt2","Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]",-1.63,0.00084
"345","APBA1_MOUSE|B2RUJ5","Apba1","Amyloid beta A4 precursor protein-binding family A member 1",-3.49,0.00213
"346","APBA2_MOUSE|P98084","Apba2","Amyloid beta A4 precursor protein-binding family A member 2",-4.04,0.00585
"347","APBB1_MOUSE|Q9QXJ1","Apbb1","Amyloid beta A4 precursor protein-binding family B member 1",-12,0.00145
"348","APC_MOUSE|Q61315","Apc","Adenomatous polyposis coli protein",-10.3,0.00267
"349","APC1_MOUSE|P53995","Anapc1","Anaphase-promoting complex subunit 1",-1.95,0.00601
"350","APEH_MOUSE|Q8R146","Apeh","Acylamino-acid-releasing enzyme",-1.22,0.0907
"351","APEX1_MOUSE|P28352","Apex1","DNA-(apurinic or apyrimidinic site) lyase",-1.49,0.0147
"352","API5_MOUSE|O35841","Api5","Apoptosis inhibitor 5",-1.37,0.000394
"353","APLP1_MOUSE|Q03157","Aplp1","Amyloid-like protein 1",-1.19,0.173
"354","APMAP_MOUSE|Q9D7N9","Apmap","Adipocyte plasma membrane-associated protein",-1.43,0.0165
"355","APOA1_MOUSE|Q00623","Apoa1","Apolipoprotein A-I",1.06,0.326
"356","APOD_MOUSE|P51910","Apod","Apolipoprotein D",-1.62,0.713
"357","APOH_MOUSE|Q01339","Apoh","Beta-2-glycoprotein 1",1.04,0.562
"358","APT_MOUSE|P08030","Aprt","Adenine phosphoribosyltransferase",1.09,0.00902
"359","AR6P1_MOUSE|Q9JKW0","Arl6ip1","ADP-ribosylation factor-like protein 6-interacting protein 1",-1.35,0.22
"360","AR6P4_MOUSE|Q9JM93","Arl6ip4","ADP-ribosylation factor-like protein 6-interacting protein 4",-1.49,0.0454
"361","ARAF_MOUSE|P04627","Araf","Serine/threonine-protein kinase A-Raf",-3.35,0.00303
"362","ARAP1_MOUSE|Q4LDD4","Arap1","Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",-1.51,0.00177
"363","ARAP2_MOUSE|Q8BZ05","Arap2","Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2",-3.31,0.00376
"364","ARBK1_MOUSE|Q99MK8","Adrbk1","Beta-adrenergic receptor kinase 1",-4.67,0.00334
"365","ARC1A_MOUSE|Q9R0Q6","Arpc1a","Actin-related protein 2/3 complex subunit 1A",-1.52,0.00449
"366","ARC1B_MOUSE|Q9WV32","Arpc1b","Actin-related protein 2/3 complex subunit 1B",-1.2,0.291
"367","ARF1_MOUSE|P84078","Arf1","ADP-ribosylation factor 1",-1.43,0.131
"368","ARF4_MOUSE|P61750","Arf4","ADP-ribosylation factor 4",-1.32,0.0978
"369","ARF5_MOUSE|P84084","Arf5","ADP-ribosylation factor 5",-1.43,0.13
"370","ARF6_MOUSE|P62331","Arf6","ADP-ribosylation factor 6",-1.17,0.25
"371","ARFG1_MOUSE|Q9EPJ9","Arfgap1","ADP-ribosylation factor GTPase-activating protein 1",-4,0.000804
"372","ARFG2_MOUSE|Q99K28","Arfgap2","ADP-ribosylation factor GTPase-activating protein 2",-5.98,0.00425
"373","ARFG3_MOUSE|Q9D8S3","Arfgap3","ADP-ribosylation factor GTPase-activating protein 3",-6.02,0.00305
"374","ARFP2_MOUSE|Q8K221","Arfip2","Arfaptin-2",-6.66,0.00354
"375","ARGAL_MOUSE|A2AWP8","Arhgef10l","Rho guanine nucleotide exchange factor 10-like protein",-2.51,0.0117
"376","ARGI1_MOUSE|Q61176","Arg1","Arginase-1",-2.18,0.0686
"377","ARGL1_MOUSE|Q3UL36","Arglu1","Arginine and glutamate-rich protein 1",-1.09,0.23
"378","ARHG1_MOUSE|Q61210","Arhgef1","Rho guanine nucleotide exchange factor 1",-1.41,0.00161
"379","ARHG2_MOUSE|Q60875","Arhgef2","Rho guanine nucleotide exchange factor 2",-1.82,0.00151
"380","ARHG6_MOUSE|Q8K4I3","Arhgef6","Rho guanine nucleotide exchange factor 6",-3.51,0.00125
"381","ARHG7_MOUSE|Q9ES28","Arhgef7","Rho guanine nucleotide exchange factor 7",-4.1,0.000791
"382","ARHG9_MOUSE|Q3UTH8","Arhgef9","Rho guanine nucleotide exchange factor 9",-2.54,0.00211
"383","ARHGA_MOUSE|Q8C033","Arhgef10","Rho guanine nucleotide exchange factor 10",-1.55,0.00281
"384","ARHGC_MOUSE|Q8R4H2","Arhgef12","Rho guanine nucleotide exchange factor 12",-2.67,0.00277
"385","ARHGH_MOUSE|Q80U35","Arhgef17","Rho guanine nucleotide exchange factor 17",-1.64,0.0103
"386","ARHGI_MOUSE|Q6P9R4","Arhgef18","Rho guanine nucleotide exchange factor 18",-3.53,0.00142
"387","ARHGP_MOUSE|Q9CWR0","Arhgef25","Rho guanine nucleotide exchange factor 25",-3.28,0.00138
"388","ARI1_MOUSE|Q9Z1K5","Arih1","E3 ubiquitin-protein ligase ARIH1",-1.52,0.0191
"389","ARI1A_MOUSE|A2BH40","Arid1a","AT-rich interactive domain-containing protein 1A",-5.11,0.00199
"390","ARK72_MOUSE|Q8CG76","Akr7a2","Aflatoxin B1 aldehyde reductase member 2",-1.32,0.0179
"391","ARL1_MOUSE|P61211","Arl1","ADP-ribosylation factor-like protein 1",-1.26,0.0705
"392","ARL2_MOUSE|Q9D0J4","Arl2","ADP-ribosylation factor-like protein 2",-1.62,0.00477
"393","ARL3_MOUSE|Q9WUL7","Arl3","ADP-ribosylation factor-like protein 3",-1.68,0.00214
"394","ARL4C_MOUSE|P61208","Arl4c","ADP-ribosylation factor-like protein 4C",-1.69,0.00302
"395","ARL6_MOUSE|O88848","Arl6","ADP-ribosylation factor-like protein 6",-1.69,0.00835
"396","ARL8A_MOUSE|Q8VEH3","Arl8a","ADP-ribosylation factor-like protein 8A",-1.15,0.789
"397","ARL8B_MOUSE|Q9CQW2","Arl8b","ADP-ribosylation factor-like protein 8B",-1.17,0.598
"398","ARLY_MOUSE|Q91YI0","Asl","Argininosuccinate lyase",-1.71,0.00383
"399","ARM10_MOUSE|Q9D0L7","Armc10","Armadillo repeat-containing protein 10",-1.74,0.0123
"400","ARMC1_MOUSE|Q9D7A8","Armc1","Armadillo repeat-containing protein 1",-1.54,0.0014
"401","ARMC6_MOUSE|Q8BNU0","Armc6","Armadillo repeat-containing protein 6",-4.64,0.000943
"402","ARMC8_MOUSE|Q9DBR3","Armc8","Armadillo repeat-containing protein 8",-1.59,0.00249
"403","ARMT1_MOUSE|A6H630",NA,NA,-1.77,0.00268
"404","ARMX3_MOUSE|Q8BHS6","Armcx3","Armadillo repeat-containing X-linked protein 3",-1.71,0.00032
"405","ARNT2_MOUSE|Q61324","Arnt2","Aryl hydrocarbon receptor nuclear translocator 2",-2,0.000933
"406","ARP10_MOUSE|Q9QZB7","Actr10","Actin-related protein 10",-2.67,0.00243
"407","ARP19_MOUSE|P56212","Arpp19","cAMP-regulated phosphoprotein 19",-4.4,0.000427
"408","ARP2_MOUSE|P61161","Actr2","Actin-related protein 2",-1.61,0.00495
"409","ARP21_MOUSE|Q9DCB4","Arpp21","cAMP-regulated phosphoprotein 21",-3.3,0.000791
"410","ARP3_MOUSE|Q99JY9","Actr3","Actin-related protein 3",-1.5,0.0166
"411","ARP3B_MOUSE|Q641P0","Actr3b","Actin-related protein 3B",-1.59,0.00361
"412","ARP5L_MOUSE|Q9D898","Arpc5l","Actin-related protein 2/3 complex subunit 5-like protein",-1.79,0.00212
"413","ARP6_MOUSE|Q9D864","Actr6","Actin-related protein 6",1.35,0.00913
"414","ARPC2_MOUSE|Q9CVB6","Arpc2","Actin-related protein 2/3 complex subunit 2",-1.32,0.0911
"415","ARPC3_MOUSE|Q9JM76","Arpc3","Actin-related protein 2/3 complex subunit 3",-1.58,0.00655
"416","ARPC4_MOUSE|P59999","Arpc4","Actin-related protein 2/3 complex subunit 4",-1.36,0.031
"417","ARPC5_MOUSE|Q9CPW4","Arpc5","Actin-related protein 2/3 complex subunit 5",-1.41,0.00469
"418","ARPIN_MOUSE|Q9D0A3","Arpin","Arpin",-3.96,0.0015
"419","ARRB1_MOUSE|Q8BWG8","Arrb1","Beta-arrestin-1",-1.62,0.0128
"420","ARRB2_MOUSE|Q91YI4","Arrb2","Beta-arrestin-2",-1.84,0.0252
"421","ARXS1_MOUSE|C0HK79",NA,NA,-1.44,0.157
"422","AS3MT_MOUSE|Q91WU5","As3mt","Arsenite methyltransferase",-1.67,0.0071
"423","ASAH1_MOUSE|Q9WV54","Asah1","Acid ceramidase",-1.37,0.134
"424","ASAP1_MOUSE|Q9QWY8","Asap1","Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",-10.7,0.00145
"425","ASAP2_MOUSE|Q7SIG6","Asap2","Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2",-3.44,0.0016
"426","ASGL1_MOUSE|Q8C0M9","Asrgl1","Isoaspartyl peptidase/L-asparaginase",-1.43,0.0157
"427","ASH2L_MOUSE|Q91X20","Ash2l","Set1/Ash2 histone methyltransferase complex subunit ASH2",-1.13,0.121
"428","ASNA_MOUSE|O54984","Asna1","ATPase Asna1",-1.55,0.0116
"429","ASNS_MOUSE|Q61024","Asns","Asparagine synthetase [glutamine-hydrolyzing]",-1.72,0.00447
"430","ASPC1_MOUSE|Q8VBT9","Aspscr1","Tether containing UBX domain for GLUT4",-3.69,0.00113
"431","ASPH_MOUSE|Q8BSY0","Asph","Aspartyl/asparaginyl beta-hydroxylase",-1.26,0.0107
"432","ASPH2_MOUSE|Q80VP9","Asphd2","Aspartate beta-hydroxylase domain-containing protein 2",-1.62,0.0077
"433","ASPP1_MOUSE|Q62415","Ppp1r13b","Apoptosis-stimulating of p53 protein 1",-11.4,0.00241
"434","ASPP2_MOUSE|Q8CG79","Tp53bp2","Apoptosis-stimulating of p53 protein 2",-6.16,0.00211
"435","ASSY_MOUSE|P16460","Ass1","Argininosuccinate synthase",-1.55,0.0148
"436","ASTN1_MOUSE|Q61137","Astn1","Astrotactin-1",-6.78,0.00254
"437","ASTN2_MOUSE|Q80Z10","Astn2","Astrotactin-2",-6.45,0.00106
"438","AT12A_MOUSE|Q9Z1W8","Atp12a","Potassium-transporting ATPase alpha chain 2",-1.7,0.00251
"439","AT131_MOUSE|Q9EPE9","Atp13a1","Manganese-transporting ATPase 13A1",-2.28,0.00186
"440","AT1A1_MOUSE|Q8VDN2","Atp1a1","Sodium/potassium-transporting ATPase subunit alpha-1",-1.78,0.000845
"441","AT1A2_MOUSE|Q6PIE5","Atp1a2","Sodium/potassium-transporting ATPase subunit alpha-2",-1.77,0.00392
"442","AT1A3_MOUSE|Q6PIC6","Atp1a3","Sodium/potassium-transporting ATPase subunit alpha-3",-1.83,0.000375
"443","AT1B1_MOUSE|P14094","Atp1b1","Sodium/potassium-transporting ATPase subunit beta-1",-1.5,0.0403
"444","AT1B2_MOUSE|P14231","Atp1b2","Sodium/potassium-transporting ATPase subunit beta-2",-1.29,0.334
"445","AT1B3_MOUSE|P97370","Atp1b3","Sodium/potassium-transporting ATPase subunit beta-3",-1.51,0.0241
"446","AT2A1_MOUSE|Q8R429","Atp2a1","Sarcoplasmic/endoplasmic reticulum calcium ATPase 1",-1.59,0.0035
"447","AT2A2_MOUSE|O55143","Atp2a2","Sarcoplasmic/endoplasmic reticulum calcium ATPase 2",-1.72,0.00275
"448","AT2A3_MOUSE|Q64518","Atp2a3","Sarcoplasmic/endoplasmic reticulum calcium ATPase 3",-1.36,0.189
"449","AT2B1_MOUSE|G5E829","Atp2b1","Plasma membrane calcium-transporting ATPase 1",-1.82,0.00197
"450","AT2B2_MOUSE|Q9R0K7","Atp2b2","Plasma membrane calcium-transporting ATPase 2",-1.97,0.000594
"451","AT2B4_MOUSE|Q6Q477",NA,NA,-1.83,0.00115
"452","AT2C1_MOUSE|Q80XR2","Atp2c1","Calcium-transporting ATPase type 2C member 1",-2.34,0.00163
"453","AT2L1_MOUSE|Q8BWU8","Etnppl","Ethanolamine-phosphate phospho-lyase",-2,0.000513
"454","AT5F1_MOUSE|Q9CQQ7","Atp5f1","ATP synthase F(0) complex subunit B1, mitochondrial",-1.42,0.0663
"455","AT5G1_MOUSE|Q9CR84","Atp5g1","ATP synthase F(0) complex subunit C1, mitochondrial",-1.33,0.295
"456","AT8A1_MOUSE|P70704","Atp8a1","Phospholipid-transporting ATPase IA",-1.73,0.00314
"457","AT8A2_MOUSE|P98200","Atp8a2","Phospholipid-transporting ATPase IB",-1.89,0.000129
"458","ATAD1_MOUSE|Q9D5T0","Atad1","ATPase family AAA domain-containing protein 1",-1.64,0.00626
"459","ATAD3_MOUSE|Q925I1","Atad3","ATPase family AAA domain-containing protein 3",-1.6,0.00521
"460","ATAT_MOUSE|Q8K341","Atat1","Alpha-tubulin N-acetyltransferase 1",-1.98,0.00102
"461","ATCAY_MOUSE|Q8BHE3","Atcay","Caytaxin",-3.28,0.0014
"462","ATE1_MOUSE|Q9Z2A5","Ate1","Arginyl-tRNA--protein transferase 1",-3.73,0.00142
"463","ATE1_MOUSE|Q9Z2A5-2","Ate1","Arginyl-tRNA--protein transferase 1 (isoform 2)",-3.34,0.00267
"464","ATF1_MOUSE|P81269","Atf1","Cyclic AMP-dependent transcription factor ATF-1",-1.96,0.00135
"465","ATG13_MOUSE|Q91YI1","Atg13","Autophagy-related protein 13",-4.67,0.00238
"466","ATG2A_MOUSE|Q6P4T0","Atg2a","Autophagy-related protein 2 homolog A",-3.58,0.00112
"467","ATG2B_MOUSE|Q80XK6","Atg2b","Autophagy-related protein 2 homolog B",-9.81,0.00515
"468","ATG3_MOUSE|Q9CPX6","Atg3","Ubiquitin-like-conjugating enzyme ATG3",-3.14,0.00529
"469","ATG4B_MOUSE|Q8BGE6","Atg4b","Cysteine protease ATG4B",-1.68,0.00107
"470","ATG7_MOUSE|Q9D906","Atg7","Ubiquitin-like modifier-activating enzyme ATG7",-1.43,0.0201
"471","ATIF1_MOUSE|O35143","Atpif1","ATPase inhibitor, mitochondrial",-1.14,0.196
"472","ATLA1_MOUSE|Q8BH66","Atl1","Atlastin-1",-1.82,0.00296
"473","ATLA2_MOUSE|Q6PA06","Atl2","Atlastin-2",-1.92,0.00131
"474","ATLA3_MOUSE|Q91YH5","Atl3","Atlastin-3",-1.43,0.04
"475","ATOX1_MOUSE|O08997","Atox1","Copper transport protein ATOX1",1.07,0.494
"476","ATP5H_MOUSE|Q9DCX2","Atp5h","ATP synthase subunit d, mitochondrial",-1.24,0.132
"477","ATP5I_MOUSE|Q06185","Atp5i","ATP synthase subunit e, mitochondrial",-1.66,0.00484
"478","ATP5J_MOUSE|P97450","Atp5j","ATP synthase-coupling factor 6, mitochondrial",-1.24,0.138
"479","ATP5L_MOUSE|Q9CPQ8","Atp5l","ATP synthase subunit g, mitochondrial",-1.55,0.0109
"480","ATP5S_MOUSE|Q9CRA7","Atp5s","ATP synthase subunit s, mitochondrial",-1.42,0.0364
"481","ATP7A_MOUSE|Q64430","Atp7a","Copper-transporting ATPase 1",-2.01,0.00422
"482","ATP8_MOUSE|P03930","Mtatp8","ATP synthase protein 8",-1.85,0.00116
"483","ATP9A_MOUSE|O70228","Atp9a","Probable phospholipid-transporting ATPase IIA",-1.87,0.00367
"484","ATPA_MOUSE|Q03265","Atp5a1","ATP synthase subunit alpha, mitochondrial",-1.72,0.00285
"485","ATPB_MOUSE|P56480","Atp5b","ATP synthase subunit beta, mitochondrial",-1.55,0.00803
"486","ATPD_MOUSE|Q9D3D9","Atp5d","ATP synthase subunit delta, mitochondrial",1.03,0.605
"487","ATPF1_MOUSE|Q811I0","Atpaf1","ATP synthase mitochondrial F1 complex assembly factor 1",-2.3,0.00343
"488","ATPG_MOUSE|Q91VR2","Atp5c1","ATP synthase subunit gamma, mitochondrial",-1.64,0.00268
"489","ATPK_MOUSE|P56135","Atp5j2","ATP synthase subunit f, mitochondrial",-1.58,0.0278
"490","ATPO_MOUSE|Q9DB20","Atp5o","ATP synthase subunit O, mitochondrial",-1.68,0.00218
"491","ATRX_MOUSE|Q61687","Atrx","Transcriptional regulator ATRX",-3.5,0.000925
"492","ATX1_MOUSE|P54254","Atxn1","Ataxin-1",-3.38,0.00422
"493","ATX10_MOUSE|P28658","Atxn10","Ataxin-10",-1.79,0.00269
"494","ATX2_MOUSE|O70305","Atxn2","Ataxin-2",-7.43,0.00101
"495","ATX2L_MOUSE|Q7TQH0","Atxn2l","Ataxin-2-like protein",-13.5,0.00133
"496","ATX2L_MOUSE|Q7TQH0-2","Atxn2l","Ataxin-2-like protein (isoform 2)",-3.53,0.00119
"497","AUHM_MOUSE|Q9JLZ3","Auh","Methylglutaconyl-CoA hydratase, mitochondrial",-1.17,0.447
"498","AUXI_MOUSE|Q80TZ3","Dnajc6","Putative tyrosine-protein phosphatase auxilin",-3.82,0.00169
"499","AVL9_MOUSE|Q80U56","Avl9","Late secretory pathway protein AVL9 homolog",-1.96,0.0021
"500","AXIN1_MOUSE|O35625","Axin1","Axin-1",-6.58,0.00228
"501","B0QZW1_MOUSE|B0QZW1","Gria3","Glutamate receptor 3",-2.16,0.00103
"502","B1APX2_MOUSE|B1APX2","5031439G07Rik","Protein 5031439G07Rik",-1.8,0.00243
"503","B1AQX6_MOUSE|B1AQX6","Srcin1","SRC kinase-signaling inhibitor 1",-22,0.000394
"504","B1AQZ0_MOUSE|B1AQZ0","8-Sep","Septin-8",-1.6,0.0076
"505","B1AUN2_MOUSE|B1AUN2","Eif2b3","MCG14442",-1.78,0.00877
"506","B1AWN6_MOUSE|B1AWN6","Scn2a1","Protein Scn2a1",-3.8,0.00215
"507","B1B0C7_MOUSE|B1B0C7","Hspg2","Basement membrane-specific heparan sulfate proteoglycan core protein",1.58,0.0239
"508","B2CL1_MOUSE|Q64373","Bcl2l1","Bcl-2-like protein 1",-1.4,0.0242
"509","B2CL2_MOUSE|P70345","Bcl2l2","Bcl-2-like protein 2",-4.38,0.00131
"510","B2L13_MOUSE|P59017","Bcl2l13","Bcl-2-like protein 13",-1.72,0.00659
"511","B2RQ71_MOUSE|B2RQ71","Dip2c","Dip2c protein",-2.3,0.0034
"512","B2RQ80_MOUSE|B2RQ80","Tnik","Tnik protein",-4.82,0.00125
"513","B2RQC7_MOUSE|B2RQC7","Dip2b","DIP2 disco-interacting protein 2 homolog B (Drosophila)",-4.53,0.000222
"514","B2RQG2_MOUSE|B2RQG2","Phf3","PHD finger protein 3",-5.49,0.000774
"515","B2RQR5_MOUSE|B2RQR5","Sgsm1","Small G protein signaling modulator 1",-1.22,0.0698
"516","B2RQS1_MOUSE|B2RQS1","Strn3","Striatin-3",-9.99,0.000775
"517","B2RUG9_MOUSE|B2RUG9","Apc","Adenomatosis polyposis coli",-11,0.00181
"518","B2RUJ6_MOUSE|B2RUJ6","Rapgef6","Rapgef6 protein",-10,0.00265
"519","B2RW11_MOUSE|B2RW11","Ankrd34a","Ankyrin repeat domain 34A",-2.39,1.39e-05
"520","B2RWC4_MOUSE|B2RWC4","Lrrc73","Gm88 protein",-1.47,0.00976
"521","B2RWR8_MOUSE|B2RWR8","Myo6","Myosin VI",-1.59,0.0141
"522","B2RX09_MOUSE|B2RX09","Nrxn2","Nrxn2 protein",-1.68,0.0138
"523","B2RXQ2_MOUSE|B2RXQ2","Ppfia1","Ppfia1 protein",-2.96,0.00232
